STATE,COUNTY,FIPS,E_TOTPOP,E_POV,E_UNEMP,E_PCI,E_AGE65,E_MINRTY,E_CROWD,E_UNINSUR
ALABAMA,Autauga,1001,55200,8422,1065,29372,8050,13788,299,3875
ALABAMA,Blount,1009,57645,8220,909,22656,10233,7413,339,6303
ALABAMA,Butler,1013,20025,4640,567,20430,3806,9641,119,2005
ALABAMA,Calhoun,1015,115098,20819,4628,24706,19386,31675,772,10686
ALABAMA,Chambers,1017,33826,5531,773,22827,6409,14954,404,3613
ALABAMA,Coffee,1031,51288,7604,1371,27577,8375,15065,272,5004
ALABAMA,Colbert,1033,54495,8785,1397,24918,10502,11630,83,4353
ALABAMA,Covington,1039,37351,6702,1428,23071,7650,6205,320,4116
ALABAMA,Cullman,1043,82313,12831,1903,22980,14803,6487,555,9631
ALABAMA,Dale,1045,49255,8798,1738,23837,7939,15250,313,5274
ALABAMA,Elmore,1051,81212,9462,2219,27475,11770,21741,422,6227
ALABAMA,Etowah,1055,102939,17524,2945,24065,18877,22565,462,10662
ALABAMA,Henry,1067,17124,2270,494,24069,3696,5319,52,1917
ALABAMA,Houston,1069,104352,18913,3354,25990,17615,34526,487,10737
ALABAMA,Jackson,1071,52094,10418,1277,21608,9972,5557,446,4974
ALABAMA,Lauderdale,1077,92585,13703,2267,27189,17876,14084,475,8328
ALABAMA,Lawrence,1079,33171,5508,766,23557,5787,7781,195,2686
ALABAMA,Limestone,1083,93052,12384,2957,27699,13723,21498,588,8634
ALABAMA,Madison,1089,357560,45960,10632,35526,51308,125445,1939,31451
ALABAMA,Marshall,1095,95145,20354,2091,23833,15941,17848,912,12367
ALABAMA,Mobile,1097,414659,78208,11514,25215,63650,177672,3108,47466
ALABAMA,Morgan,1103,119122,17920,2815,25907,19865,28625,1098,11937
ALABAMA,Randolph,1111,22574,3912,451,23247,4512,5583,253,2345
ALABAMA,Russell,1113,58213,11491,2000,22055,7776,30859,713,7590
ALABAMA,St. Clair,1115,87306,11268,2188,24861,13891,12197,277,7553
ALABAMA,Shelby,1117,211261,17557,4411,36576,30125,46203,875,14284
ALABAMA,Talladega,1121,80565,15401,3004,22498,13757,29910,407,7202
ALASKA,Valdez-Cordova,2261,9301,747,335,38507,1152,2823,70,1421
ARIZONA,Pinal,4021,419721,55859,12785,23653,80907,179852,5022,34803
ARKANSAS,Boone,5009,37288,5455,740,23998,7491,2228,364,2491
ARKANSAS,Bradley,5011,10948,2513,368,22411,2014,4854,158,1246
ARKANSAS,Crawford,5033,62472,9830,1386,23851,10068,9634,708,5527
ARKANSAS,Cross,5037,16998,2793,458,24486,3052,4614,141,1229
ARKANSAS,Faulkner,5045,122416,19697,2818,26163,14488,24122,820,11725
ARKANSAS,Franklin,5047,17780,3823,213,20262,3361,1406,209,1020
ARKANSAS,Garland,5051,98296,17961,3076,26791,22442,17407,713,10831
ARKANSAS,Grant,5053,18086,2589,579,25907,3116,1314,112,902
ARKANSAS,Independence,5063,37264,6254,793,23426,6398,4110,339,3146
ARKANSAS,Logan,5083,21757,4514,837,22221,4184,2036,227,1729
ARKANSAS,Lonoke,5085,72206,8733,1418,26222,9272,10014,540,5404
ARKANSAS,Madison,5087,16076,2680,447,23875,2962,1677,177,1830
ARKANSAS,Pope,5115,63644,11117,1797,22110,9589,9949,486,5729
ARKANSAS,Prairie,5117,8244,1266,235,24075,1890,1246,120,667
ARKANSAS,Randolph,5121,17603,3127,300,21338,3482,965,209,1462
ARKANSAS,Saline,5125,118009,9928,2290,29358,20250,17487,847,7162
ARKANSAS,Sebastian,5131,127461,25420,2905,25084,19388,38283,1765,13586
ARKANSAS,White,5145,78804,12701,1965,23747,12425,9290,482,7074
CALIFORNIA,Butte,6007,227075,44410,9085,27537,40219,62685,2757,16561
CALIFORNIA,El Dorado,6017,186661,16537,5480,40382,36751,40671,1532,9656
CALIFORNIA,Humboldt,6023,135768,26957,5327,26747,22647,34463,2085,13055
CALIFORNIA,Inyo,6027,18085,1792,447,31540,4148,6696,156,1125
CALIFORNIA,Placer,6061,380077,30293,9005,41508,71099,101697,2924,17902
CALIFORNIA,San Luis Obispo,6079,281455,35303,6175,35832,52758,86881,3482,20715
CALIFORNIA,Shasta,6089,179085,30186,4824,27983,35621,35510,2301,13266
CALIFORNIA,Siskiyou,6093,43540,8374,1440,28130,10463,10150,622,3050
COLORADO,Clear Creek,8019,9379,509,101,40655,1769,1012,68,833
COLORADO,Elbert,8039,25162,1110,380,43349,3689,2788,126,1451
COLORADO,Gilpin,8047,5924,238,88,48460,858,801,22,272
COLORADO,Gunnison,8051,16537,2084,589,30127,2044,2119,132,1779
COLORADO,Jackson,8057,1296,202,15,25467,288,259,4,137
COLORADO,Lake,8065,7585,1232,240,28062,886,2588,83,1108
COLORADO,La Plata,8067,55101,4609,1250,37864,8634,11719,533,4993
COLORADO,Las Animas,8071,14179,2426,500,25118,3253,6708,128,1263
COLORADO,Logan,8075,21689,3117,462,25776,3647,4819,226,1929
